Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
"If navigating to contests or profile pages and not logged in, redirect to login page",Done,Eric,"August 11, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Removed default values for create contest title, desc, point value.",Done,Eric,"August 11, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Added Terms of Service and Privacy Policy,Done,Eric,"August 12, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Add error message when unsuccessful login,Done,Eric,"August 13, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Added link to resend verification email,Done,"Eric, Caleb Early","August 13, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Added format to phone in signup page,Done,Eric,"August 13, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: View Mission Div too wide with very long text description,Done,Caleb Early,"August 13, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Leaderboard order not sorted by point value,Done,Caleb Early,"August 13, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Manage Cohosts Menu,Done,Caleb Early,"August 14, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Icons for Accepted, Pending, Rejected Submissions",Done,Caleb Early,"August 19, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"View, Edit, Delete Mission Submissions",Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Made header title keep showing even when on mobile view,Done,Caleb Early,"August 14, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
User Status in Contest,Done,Caleb Early,"August 15, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Finish Search Criteria,Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Favorite Contests,Done,Caleb Early,"August 15, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Incorrect “Showing Page” with 0 pages of results,Done,Caleb Early,"August 15, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Bug: When creating a mission, if there was an error it closes the popup with your changes",Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Blank screen when trying to visit a contest that was deleted,Done,Caleb Early,"August 15, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Give Cohosts Host Menu Options,Done,Caleb Early,"August 15, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
More Sort Options & Add Quick Search button for mobile users so they don’t have to scroll back up,Done,Caleb Early,"August 15, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Remember last search settings when going back to search contests,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Accept/Reject Invitations from Search Contests Page,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Finish Features for Judges Panel in View Mission,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Hidden Themes 👀,Done,Caleb Early,"August 15, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix Contest Name Overflow & Layout,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix Updating Mission Wouldn’t Visually Update the Changes,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Warning icon if a mission has 0 judges,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Evaluate/Adjudicate Submissions Menu (In View Mission),Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Invite Contestants Menu, Finally after all this time",Done,Caleb Early,"August 17, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Added reset password to login,Done,Eric,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Red Notify Dot for Invitations on Search Contests Page,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
View Contest with MissionId in query string,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Search By Mission (Without Contest),Archived,,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Transfer Ownership Menu,Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Filter Mission on View Contest Page,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Popup in different directions,Done,Caleb Early,"August 16, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Accept/Reject judge invitation from mission menu,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
User List Upload,Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
View Mission Column Readjusting,Done,Caleb Early,"August 18, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Include time for dates on missions,Done,Caleb Early,"August 19, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix View Mission & Popups on Firefox,Done,Caleb Early,"August 19, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Soloed createMenu & Go Back to Previous Menus,Done,Caleb Early,"August 19, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
n/N Submissions Done,Done,Caleb Early,"August 19, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Add Icons to Submit for Mission,Done,Caleb Early,"August 19, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Results Menus,Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Use standard Are you sure popup in more places,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Your Info Popup is Cutoff the Page,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: your info btn not showing up unless host,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Delete Contest: type name to confirm,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Hide Evaluate Submissions If you aren’t a judge,Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Pending count doesn’t update when contestant adds submission,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Incorrect number of submissions used on view mission,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Refresh Evaluate Submissions menu on submit,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: update leaderboard after evaluating submissions,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: update submissionStats after evaluating submissions,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix submissionStats labels,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Edit submission not providing file,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: update userStats after deleting mission,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Disable deleting approved mission,Done,Caleb Early,"September 12, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Error Messages (Toasts?),Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: “NaN Pending” when submit for first time in mission,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"After updating mission details don’t close the mission menu, instead reload",Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Add/Create Mission Defaults,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix local time on view mission and create mission,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Clamp maxCompetionsPerUser,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix favorites popup only to show up first time,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Highlight where you are on the leaderboard,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Judge Invitation to support multiple missions,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix manage cohosts & manage contestants on small displays and mobile,Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Judges menu needs some updating work,Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Cohost invitations,Done,Caleb Early,"August 21, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Invite to participate doesn’t work, API says already invited but there is nothing in the array when retreiving",Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Submission Failed,Done,Caleb Early,"August 21, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Duplication when inviting to judge (inviting to mission 1 and mission 2 just makes it be two invites to mission 1),Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Need to refresh data when clicking on missions,Archived,,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: Error 502 when creating a new contest,Done,Caleb Early,"August 21, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: if user is judge but not host/cohost they can’t judge submissions,Done,Caleb Early,"August 21, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fixed judges who aren’t hosts to not see the invite/delete judges menu & host menu,Done,Caleb Early,"August 21, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Clear invite judges input after add,Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix after accepting judge invitation to change button to evaluate submissions instead of submit,Done,Caleb Early,"September 6, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Cohosts should not have access to Delete Contest, Edit Details, Transfer Ownership, or Manage Cohosts.",Done,Caleb Early,"September 6, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Add button for cohost to leave a contest (as cohost),Done,Caleb Early,,,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: delete judge deletes all judges,Done,Caleb Early,"August 21, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Bug: deleting judge then mission view doesn’t update correctly with new data,Done,Caleb Early,"September 6, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix profile page user img on safari,Done,Caleb Early,"August 22, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Redo judges menu,Done,Caleb Early,"August 25, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Notifications: Delete notifications when resolved,Done,Paul Bauer,"September 3, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,Test that my implementation is working (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Test%20that%20my%20implementation%20is%20working%20bfbcfc244df1472cbb8dee1d2f9a3ee7.csv)
Notifications: Fix console errors on menu toggle,Done,Paul Bauer,"August 25, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Notifications: Make calls to closeNotiMenu() await a promise(?),Archived,Paul Bauer,,,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Auto format phone on signup page,Done,Eric,"August 24, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Add .vscode folder to ensure live server extension works,Done,Caleb Early,"August 27, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Add gavel to missions that you judge,Done,Caleb Early,"August 26, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Cohost cannot leave contest as cohost,Done,Caleb Early,"August 26, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Mobile nav menu: Remove if blank,Done,,,,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Remove unnecessary info from Results menu,Done,Caleb Early,"August 25, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Bug: judges menu names too long overflow,Done,Caleb Early,"September 14, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Remove cohost accept/reject confirmation popups,Done,Caleb Early,"August 29, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Bug: prevent host from invited themselves as a cohost,Done,Caleb Early,"August 26, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Bug: cohosts get treated as fullhosts,Done,Caleb Early,"August 26, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Add mission badge for a mission that is competed (you reached you maximum amount of submissions),Done,Caleb Early,"August 29, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),,
Test that my implementation is working,Done,Paul Bauer,"August 25, 2023",,,9 - Aug 22 - Aug 28 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/9%20-%20Aug%2022%20-%20Aug%2028%20c6849d56d5f14625bd25711d5cd934d3.csv),Notifications: Delete notifications when resolved (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Notifications%20Delete%20notifications%20when%20resolved%20ef74ae3a310747fc8459ae750a640469.csv),
