Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
Delete Contest,Done,Caleb Early,,,,4 - June 12 - June 26 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/4%20-%20June%2012%20-%20June%2026%20e10ed46dfd6045babfaf579984dfef3e.csv),,
Create Mission,Done,,,,,4 - June 12 - June 26 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/4%20-%20June%2012%20-%20June%2026%20e10ed46dfd6045babfaf579984dfef3e.csv),,
Notification List,Done,Paul Bauer,,,,4 - June 12 - June 26 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/4%20-%20June%2012%20-%20June%2026%20e10ed46dfd6045babfaf579984dfef3e.csv),,
Check Score,Done,,,,,4 - June 12 - June 26 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/4%20-%20June%2012%20-%20June%2026%20e10ed46dfd6045babfaf579984dfef3e.csv),,
Submit Mission,Done,,,,,4 - June 12 - June 26 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/4%20-%20June%2012%20-%20June%2026%20e10ed46dfd6045babfaf579984dfef3e.csv),,
Fix Nav Menu Positioning,Done,Caleb Early,,,,4 - June 12 - June 26 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/4%20-%20June%2012%20-%20June%2026%20e10ed46dfd6045babfaf579984dfef3e.csv),,
Common Design Principles,Done,,,,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,
CSS Framework,Done,,,High,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,
Error Notifications,Done,Butler Frank,,Low,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,
Header Bar,Done,Paul Bauer,,High,Mobile & Desktop,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,"Determine flow map (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Determine%20flow%20map%20551660e901aa4c6c9a424722413ddba7.csv), Create basic homepage header (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Create%20basic%20homepage%20header%2095f48941fdc442bca59e4a6cf3abc512.csv)"
Layout Templates,Done,,,High,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,Choose a color theme and font (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Choose%20a%20color%20theme%20and%20font%2096b239d1fa0f480f8f99be8dcb7f7725.csv)
Log In Page,Done,Tate Martin,,Low,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,TS - Communication with Server (Tasks%203cedf6b06b594c01bf3f3aa538d60459/TS%20-%20Communication%20with%20Server%20e0fd49733fb64d078099c27b5a96f01a.csv)
Log Out Page,Done,,"July 7, 2023",,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,
Sign Up Page,Done,"Tate Martin, Caleb Early",,Medium,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),,
TS - Communication with Server,Done,Caleb Early,,,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),Log In Page (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Log%20In%20Page%20e9f66d2c46724280a655a6e6e160a592.csv),
Choose a color theme and font,Done,"Paul Bauer, Caleb Early",,Medium,,1 - May 1 - May 14 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/1%20-%20May%201%20-%20May%2014%200732cbba993e4117997f2940e183f8a3.csv),Layout Templates (Tasks%203cedf6b06b594c01bf3f3aa538d60459/Layout%20Templates%207207549239d543a281e303949a167bb4.csv),
